gold_left,sum_unit_tier,mean_unit_rarity,placement
0,18,1.5555555555555556,5
1,17,3.6,8
29,14,2.0,6
0,16,3.0,7
8,21,3.909090909090909,2
1,15,2.7777777777777777,3
18,15,2.333333333333333,1
3,16,3.7,4
3,16,2.0,5
28,13,2.5,8
1,15,3.555555555555556,6
2,18,3.0,7
5,21,3.5454545454545454,1
4,17,2.555555555555556,3
12,20,3.727272727272727,2
1,14,2.0,6
0,14,2.5,8
4,18,2.6666666666666665,1
1,16,4.5,5
27,15,2.625,7
1,18,3.4444444444444446,2
9,19,4.0,3
2,18,3.6,4
0,19,4.363636363636363,2
41,14,2.5,8
1,13,3.0,4
0,15,3.125,6
0,15,2.7777777777777777,5
11,14,2.75,7
11,20,5.25,1
34,20,1.4444444444444444,3
13,18,0.7142857142857143,6
1,17,3.6,1
0,13,4.1,3
1,11,3.0,8
12,20,1.625,7
0,13,4.555555555555555,5
30,15,2.0,4
0,17,5.7,2
37,13,1.8333333333333333,7
17,15,2.625,6
1,14,3.4,5
0,13,3.555555555555556,8
0,13,3.5,3
4,18,4.818181818181818,2
35,15,2.0,4
1,17,2.7777777777777777,1
53,17,3.6,1
13,13,2.875,8
23,14,1.5714285714285714,7
0,18,2.0,5
0,16,0.5714285714285714,6
2,17,2.8,4
0,17,1.7777777777777777,2
1,19,3.0,3
3,18,3.4444444444444446,2
24,13,3.0,7
5,17,2.888888888888889,5
1,17,3.6,3
2,12,1.875,8
15,14,2.0,6
21,22,4.416666666666667,1
0,19,3.363636363636364,4
1,13,2.7777777777777777,6
1,18,3.5,4
2,17,3.3,1
3,15,2.4444444444444446,5
64,14,2.25,7
0,15,2.125,8
0,16,3.333333333333333,3
4,19,4.090909090909091,2
8,18,3.7777777777777777,2
2,17,2.4444444444444446,5
1,14,3.2,6
0,14,2.625,7
0,16,5.1,3
0,14,3.3,4
1,21,4.0,1
1,13,2.5,8
4,20,3.3,1
0,14,2.0,8
0,16,2.555555555555556,7
47,13,2.625,6
0,16,2.0,5
0,21,1.6666666666666667,2
1,17,1.8888888888888888,3
0,17,3.0,4
2,17,4.0,3
0,18,2.555555555555556,8
1,18,1.5,5
0,16,2.6666666666666665,7
1,16,3.6,4
6,19,4.090909090909091,2
0,14,2.0,6
9,17,3.0,1
30,13,3.125,7
1,19,3.636363636363636,1
5,22,3.4545454545454546,3
2,18,4.0,5
0,17,1.375,6
1,15,3.111111111111111,4
1,19,2.7777777777777777,2
2,15,1.0,8
3,15,2.7,6
0,15,4.9,4
1,18,3.3,1
3,15,2.333333333333333,8
1,14,2.5,7
0,16,3.0,3
0,20,3.3,5
1,18,2.6666666666666665,2
1,21,3.5454545454545454,1
30,18,2.7777777777777777,4
0,18,4.0,7
1,19,4.181818181818182,5
0,17,1.0,6
0,19,3.363636363636364,3
1,20,2.0,2
38,14,2.555555555555556,8
0,15,4.111111111111111,2
31,17,1.875,5
18,14,3.0,7
6,18,1.625,6
0,17,3.555555555555556,3
2,18,3.8,1
31,17,1.1428571428571428,8
28,18,3.6,4
2,13,2.142857142857143,8
0,17,4.636363636363637,4
5,16,3.1,6
1,20,4.0,2
1,17,5.727272727272728,5
0,21,1.7777777777777777,3
1,20,3.2222222222222223,1
0,16,3.0,7
14,15,1.5714285714285714,5
0,12,3.888888888888889,7
5,17,4.1,4
1,19,5.363636363636363,1
0,17,3.7777777777777777,3
0,10,4.375,8
0,17,4.1,2
0,16,2.333333333333333,6
9,13,3.333333333333333,7
2,22,3.4545454545454546,1
0,19,3.363636363636364,3
0,17,2.7777777777777777,4
0,13,4.0,8
0,19,2.6666666666666665,2
0,14,2.625,5
0,14,3.111111111111111,6
1,17,3.7,4
1,16,2.7777777777777777,7
0,15,3.3,8
0,18,2.888888888888889,2
0,16,2.0,6
0,22,1.5555555555555556,3
1,17,3.5,5
4,17,3.4,1
1,18,4.090909090909091,7
1,13,4.0,6
2,15,3.111111111111111,5
0,16,3.4,4
6,16,2.888888888888889,1
2,18,2.6666666666666665,2
1,17,3.6,8
0,23,2.0,3
1,14,1.875,3
2,20,4.2727272727272725,1
0,19,4.818181818181818,2
4,21,4.909090909090909,8
1,14,3.555555555555556,5
27,18,5.0,4
0,14,2.6666666666666665,6
16,14,3.75,7
2,16,2.6666666666666665,7
2,17,3.333333333333333,4
0,15,3.25,5
0,16,3.8181818181818175,6
0,15,2.4444444444444446,3
1,15,3.6666666666666665,1
1,19,3.7,2
4,15,1.4285714285714286,8
5,12,4.0,5
0,16,3.2222222222222223,3
1,15,3.333333333333333,6
1,15,3.6666666666666665,8
4,15,4.333333333333333,4
0,18,3.111111111111111,2
0,18,1.875,7
2,37,6.222222222222222,1
4,17,3.333333333333333,2
2,21,3.6,4
3,16,3.555555555555556,7
0,15,5.0,5
50,17,0.8571428571428571,8
5,21,5.0,1
3,14,3.5,6
0,17,2.7777777777777777,3
0,16,2.888888888888889,6
1,17,3.4,7
37,18,3.111111111111111,1
3,17,3.9,3
0,15,3.333333333333333,8
0,14,3.875,5
5,19,2.375,2
24,20,2.0,4
1,13,3.0,8
0,19,3.4,2
0,22,1.7777777777777777,3
31,16,0.2857142857142857,7
2,20,1.6666666666666667,4
0,13,2.75,6
54,17,3.6,1
1,16,3.7,5
2,15,2.25,8
6,20,2.0,1
3,14,3.333333333333333,5
0,19,1.75,2
3,14,2.4444444444444446,6
12,18,1.8888888888888888,4
0,14,2.625,7
1,16,3.4444444444444446,3
0,16,3.5,5
5,9,3.111111111111111,8
3,16,1.7142857142857142,7
6,23,5.25,1
0,18,2.4,3
1,13,2.4285714285714284,6
13,14,3.4444444444444446,4
1,19,4.0,2
